"","State Name","county Name","State Code","County Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"146","Texas","Bell","48","027",2016-05-26,32,"Good","Ozone","48-027-1045",2
"147","Texas","Bell","48","027",2016-05-27,40,"Good","Ozone","48-027-1045",2
"148","Texas","Bell","48","027",2016-05-28,35,"Good","Ozone","48-027-1047",2
"149","Texas","Bell","48","027",2016-05-29,35,"Good","Ozone","48-027-1047",2
"150","Texas","Bell","48","027",2016-05-30,43,"Good","Ozone","48-027-1047",2
"151","Texas","Bell","48","027",2016-05-31,23,"Good","Ozone","48-027-1047",2
"152","Texas","Bell","48","027",2016-06-01,31,"Good","Ozone","48-027-1047",2
"153","Texas","Bell","48","027",2016-06-02,39,"Good","Ozone","48-027-1047",2
"154","Texas","Bell","48","027",2016-06-03,44,"Good","Ozone","48-027-1045",2
"155","Texas","Bell","48","027",2016-06-04,42,"Good","Ozone","48-027-1045",2
"156","Texas","Bell","48","027",2016-06-05,67,"Moderate","Ozone","48-027-1047",2
"157","Texas","Bell","48","027",2016-06-06,67,"Moderate","Ozone","48-027-1045",2
"158","Texas","Bell","48","027",2016-06-07,93,"Moderate","Ozone","48-027-1045",2
"159","Texas","Bell","48","027",2016-06-08,74,"Moderate","Ozone","48-027-1045",2
"160","Texas","Bell","48","027",2016-06-09,51,"Moderate","Ozone","48-027-1047",2
"161","Texas","Bell","48","027",2016-06-10,43,"Good","Ozone","48-027-1047",2
"162","Texas","Bell","48","027",2016-06-11,41,"Good","Ozone","48-027-1047",2
"163","Texas","Bell","48","027",2016-06-12,31,"Good","Ozone","48-027-1047",2
"164","Texas","Bell","48","027",2016-06-13,35,"Good","Ozone","48-027-1045",2
"165","Texas","Bell","48","027",2016-06-14,36,"Good","Ozone","48-027-1047",2
"166","Texas","Bell","48","027",2016-06-15,39,"Good","Ozone","48-027-1047",2
"167","Texas","Bell","48","027",2016-06-16,37,"Good","Ozone","48-027-1047",2
"168","Texas","Bell","48","027",2016-06-17,46,"Good","Ozone","48-027-1047",2
"169","Texas","Bell","48","027",2016-06-18,40,"Good","Ozone","48-027-1045",2
"170","Texas","Bell","48","027",2016-06-19,39,"Good","Ozone","48-027-1047",2
"171","Texas","Bell","48","027",2016-06-20,33,"Good","Ozone","48-027-1045",2
"172","Texas","Bell","48","027",2016-06-21,39,"Good","Ozone","48-027-1047",2
"173","Texas","Bell","48","027",2016-06-22,41,"Good","Ozone","48-027-1047",2
"174","Texas","Bell","48","027",2016-06-23,45,"Good","Ozone","48-027-1047",2
"175","Texas","Bell","48","027",2016-06-24,38,"Good","Ozone","48-027-1047",2
"176","Texas","Bell","48","027",2016-06-25,19,"Good","Ozone","48-027-1047",2
"177","Texas","Bell","48","027",2016-06-26,22,"Good","Ozone","48-027-1047",2
"178","Texas","Bell","48","027",2016-06-27,35,"Good","Ozone","48-027-1047",2
"179","Texas","Bell","48","027",2016-06-28,37,"Good","Ozone","48-027-1047",2
"180","Texas","Bell","48","027",2016-06-29,58,"Moderate","Ozone","48-027-1045",2
"181","Texas","Bell","48","027",2016-06-30,64,"Moderate","Ozone","48-027-1045",2
"182","Texas","Bell","48","027",2016-07-01,61,"Moderate","Ozone","48-027-1045",2
"183","Texas","Bell","48","027",2016-07-02,31,"Good","Ozone","48-027-1047",2
"184","Texas","Bell","48","027",2016-07-03,29,"Good","Ozone","48-027-1047",2
"185","Texas","Bell","48","027",2016-07-04,33,"Good","Ozone","48-027-1047",2
"186","Texas","Bell","48","027",2016-07-05,40,"Good","Ozone","48-027-1047",2
"187","Texas","Bell","48","027",2016-07-06,37,"Good","Ozone","48-027-1047",2
"188","Texas","Bell","48","027",2016-07-07,35,"Good","Ozone","48-027-1047",2
"189","Texas","Bell","48","027",2016-07-08,33,"Good","Ozone","48-027-1047",2
"190","Texas","Bell","48","027",2016-07-09,33,"Good","Ozone","48-027-1045",2
"191","Texas","Bell","48","027",2016-07-10,30,"Good","Ozone","48-027-1047",2
"192","Texas","Bell","48","027",2016-07-11,30,"Good","Ozone","48-027-1047",2
"193","Texas","Bell","48","027",2016-07-12,33,"Good","Ozone","48-027-1047",2
"194","Texas","Bell","48","027",2016-07-13,35,"Good","Ozone","48-027-1047",2
"195","Texas","Bell","48","027",2016-07-14,37,"Good","Ozone","48-027-1047",2
"196","Texas","Bell","48","027",2016-07-15,37,"Good","Ozone","48-027-1045",2
"197","Texas","Bell","48","027",2016-07-16,32,"Good","Ozone","48-027-1047",2
"198","Texas","Bell","48","027",2016-07-17,34,"Good","Ozone","48-027-1047",2
"199","Texas","Bell","48","027",2016-07-18,33,"Good","Ozone","48-027-1047",2
"200","Texas","Bell","48","027",2016-07-19,34,"Good","Ozone","48-027-1045",1
"201","Texas","Bell","48","027",2016-07-20,34,"Good","Ozone","48-027-1047",2
"202","Texas","Bell","48","027",2016-07-21,41,"Good","Ozone","48-027-1045",2
"203","Texas","Bell","48","027",2016-07-22,44,"Good","Ozone","48-027-1045",2
"204","Texas","Bell","48","027",2016-07-23,41,"Good","Ozone","48-027-1047",2
"205","Texas","Bell","48","027",2016-07-24,29,"Good","Ozone","48-027-1045",2
"206","Texas","Bell","48","027",2016-07-25,38,"Good","Ozone","48-027-1045",2
"207","Texas","Bell","48","027",2016-07-26,48,"Good","Ozone","48-027-1047",2
"208","Texas","Bell","48","027",2016-07-27,39,"Good","Ozone","48-027-1045",2
"209","Texas","Bell","48","027",2016-07-28,32,"Good","Ozone","48-027-1045",2
"210","Texas","Bell","48","027",2016-07-29,36,"Good","Ozone","48-027-1047",2
"211","Texas","Bell","48","027",2016-07-30,37,"Good","Ozone","48-027-1047",2
"212","Texas","Bell","48","027",2016-07-31,31,"Good","Ozone","48-027-1047",2
"213","Texas","Bell","48","027",2016-08-01,36,"Good","Ozone","48-027-1047",2
"214","Texas","Bell","48","027",2016-08-02,34,"Good","Ozone","48-027-1047",2
"215","Texas","Bell","48","027",2016-08-03,37,"Good","Ozone","48-027-1047",2
"216","Texas","Bell","48","027",2016-08-04,42,"Good","Ozone","48-027-1047",2
"217","Texas","Bell","48","027",2016-08-05,39,"Good","Ozone","48-027-1047",2
"218","Texas","Bell","48","027",2016-08-06,37,"Good","Ozone","48-027-1047",2
"219","Texas","Bell","48","027",2016-08-07,31,"Good","Ozone","48-027-1047",2
"220","Texas","Bell","48","027",2016-08-08,32,"Good","Ozone","48-027-1047",2
"221","Texas","Bell","48","027",2016-08-09,34,"Good","Ozone","48-027-1047",2
"222","Texas","Bell","48","027",2016-08-10,33,"Good","Ozone","48-027-1047",2
"223","Texas","Bell","48","027",2016-08-11,36,"Good","Ozone","48-027-1045",2
"224","Texas","Bell","48","027",2016-08-12,41,"Good","Ozone","48-027-1045",2
"225","Texas","Bell","48","027",2016-08-13,45,"Good","Ozone","48-027-1047",2
"226","Texas","Bell","48","027",2016-08-14,44,"Good","Ozone","48-027-1047",2
"227","Texas","Bell","48","027",2016-08-15,32,"Good","Ozone","48-027-1047",2
"228","Texas","Bell","48","027",2016-08-16,21,"Good","Ozone","48-027-1047",2
"229","Texas","Bell","48","027",2016-08-17,20,"Good","Ozone","48-027-1047",2
"230","Texas","Bell","48","027",2016-08-18,25,"Good","Ozone","48-027-1047",2
"231","Texas","Bell","48","027",2016-08-19,31,"Good","Ozone","48-027-1045",2
"232","Texas","Bell","48","027",2016-08-20,30,"Good","Ozone","48-027-1045",2
"233","Texas","Bell","48","027",2016-08-21,24,"Good","Ozone","48-027-1047",2
"234","Texas","Bell","48","027",2016-08-22,26,"Good","Ozone","48-027-1047",2
"235","Texas","Bell","48","027",2016-08-23,31,"Good","Ozone","48-027-1047",2
"236","Texas","Bell","48","027",2016-08-24,34,"Good","Ozone","48-027-1047",2
"237","Texas","Bell","48","027",2016-08-25,37,"Good","Ozone","48-027-1047",2
"238","Texas","Bell","48","027",2016-08-26,35,"Good","Ozone","48-027-1047",2
"239","Texas","Bell","48","027",2016-08-27,47,"Good","Ozone","48-027-1045",2
"240","Texas","Bell","48","027",2016-08-28,37,"Good","Ozone","48-027-1047",2
"241","Texas","Bell","48","027",2016-08-29,37,"Good","Ozone","48-027-1045",2
"242","Texas","Bell","48","027",2016-08-30,35,"Good","Ozone","48-027-1045",2
"243","Texas","Bell","48","027",2016-08-31,51,"Moderate","Ozone","48-027-1045",2
"244","Texas","Bell","48","027",2016-09-01,50,"Good","Ozone","48-027-1045",2
"245","Texas","Bell","48","027",2016-09-02,42,"Good","Ozone","48-027-1045",2
"246","Texas","Bell","48","027",2016-09-03,44,"Good","Ozone","48-027-1047",2
"247","Texas","Bell","48","027",2016-09-04,49,"Good","Ozone","48-027-1045",2
"248","Texas","Bell","48","027",2016-09-05,29,"Good","Ozone","48-027-1047",2
"249","Texas","Bell","48","027",2016-09-06,27,"Good","Ozone","48-027-1047",2
